City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bengkulu,ID,-3.8004,102.2655,84.61,66,100,8.05,overcast clouds
79,Awbari,LY,26.5921,12.7805,67.32,27,97,12.55,overcast clouds
80,Tura,IN,25.5198,90.2201,78.22,49,66,0.31,broken clouds
81,Hofn,IS,64.2539,-15.2082,38.35,98,100,12.12,heavy intensity rain
82,Baiyin,CN,36.5583,104.2081,38.28,41,37,1.3,scattered clouds
83,Faanui,PF,-16.4833,-151.75,79.3,75,22,11.18,few clouds
84,Esperance,AU,-33.8667,121.9,64.42,58,100,16.93,overcast clouds
85,Saint-Philippe,RE,-21.3585,55.7679,82.22,75,41,10.83,scattered clouds
86,Matsuura,JP,33.3271,129.721,70.47,90,100,17.58,light rain
87,East London,ZA,-33.0153,27.9116,64.42,96,100,7.94,moderate rain
88,Camapua,BR,-19.5314,-54.0439,73.36,86,55,4.97,broken clouds
89,Lavrentiya,RU,65.5833,-171.0,10.74,88,7,7.67,clear sky
90,Lebu,CL,-37.6167,-73.65,52.05,95,63,8.95,broken clouds
91,Saskylakh,RU,71.9167,114.0833,16.32,92,100,9.51,overcast clouds
92,Kruisfontein,ZA,-34.0033,24.7314,57.88,87,100,5.68,overcast clouds
93,Bethel,US,41.3712,-73.414,49.01,74,1,0.0,clear sky
94,Altamont,US,42.2068,-121.7372,32.77,82,1,3.44,clear sky
95,Mikhaylovka,RU,50.06,43.2379,41.68,82,100,8.28,overcast clouds
96,Hermanus,ZA,-34.4187,19.2345,62.91,71,41,1.61,scattered clouds
97,Ponta Do Sol,PT,32.6667,-17.1,66.83,66,13,5.75,few clouds
98,Carnarvon,AU,-24.8667,113.6333,75.27,46,40,19.57,scattered clouds
99,Strai,NO,58.2,7.9,41.63,87,75,11.5,broken clouds
100,Qaanaaq,GL,77.484,-69.3632,2.14,69,65,7.65,broken clouds
101,Dingle,PH,10.9995,122.6711,86.34,74,42,12.19,scattered clouds
102,Yueyang,CN,29.3333,113.0919,53.62,38,92,8.72,overcast clouds
103,Lagoa,PT,39.05,-27.9833,68.2,84,29,18.25,scattered clouds
104,Provideniya,RU,64.3833,-173.3,17.71,79,90,6.71,overcast clouds
105,Kargasok,RU,59.0556,80.8572,30.78,67,95,15.35,overcast clouds
106,Kandi,BJ,11.1342,2.9386,72.3,44,66,2.73,broken clouds
107,Caravelas,BR,-17.7125,-39.2481,71.94,85,73,3.38,broken clouds
108,Ilulissat,GL,69.2167,-51.1,12.22,44,4,14.97,clear sky
109,Kavaratti,IN,10.5669,72.642,81.84,75,93,6.96,overcast clouds
110,Iqaluit,CA,63.7506,-68.5145,8.33,78,1,15.01,clear sky
111,Saint George,US,37.1041,-113.5841,65.35,29,1,3.0,clear sky
112,Hobart,AU,-42.8794,147.3294,69.03,45,40,1.01,scattered clouds
113,Gravdal,NO,68.1214,13.5031,31.89,93,20,2.3,light snow
114,Vostok,RU,46.4856,135.8833,42.26,42,99,3.2,overcast clouds
115,Sao Filipe,CV,14.8961,-24.4956,77.49,74,97,5.59,overcast clouds
116,Grao Mogol,BR,-16.5594,-42.8897,65.75,99,95,3.13,overcast clouds
117,Souillac,MU,-20.5167,57.5167,81.36,73,75,12.66,broken clouds
118,Jacareacanga,BR,-6.2222,-57.7528,72.1,90,85,0.56,overcast clouds
119,Chapais,CA,49.7834,-74.8492,40.78,98,100,5.73,overcast clouds
120,Pangnirtung,CA,66.1451,-65.7125,7.54,77,23,6.04,few clouds
121,Otacilio Costa,BR,-27.4831,-50.1219,56.57,98,100,2.55,overcast clouds
122,Tuatapere,NZ,-46.1333,167.6833,63.82,60,100,4.52,overcast clouds
123,Margate,GB,51.3813,1.3862,43.7,92,91,12.44,overcast clouds
124,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,66,0,11.5,clear sky
125,Labuhan,ID,-6.8844,112.2051,88.43,57,100,5.44,overcast clouds
126,Port Lincoln,AU,-34.7333,135.8667,61.86,54,93,8.72,overcast clouds
127,Sanchazi,CN,42.0817,126.6003,42.4,92,100,13.47,overcast clouds
128,Bintulu,MY,3.1667,113.0333,86.41,79,40,6.91,scattered clouds
129,Mahebourg,MU,-20.4081,57.7,81.25,73,75,12.66,broken clouds
130,Saint-Pierre,RE,-21.3393,55.4781,82.29,68,0,19.57,clear sky
131,Geraldton,AU,-28.7667,114.6,72.01,56,40,18.41,scattered clouds
132,Aswan,EG,24.0934,32.907,76.06,32,0,7.96,clear sky
133,Callaway,US,30.153,-85.5699,55.33,74,1,1.01,clear sky
134,Ambon,ID,-3.6954,128.1814,89.74,62,40,8.05,scattered clouds
135,Mount Gambier,AU,-37.8333,140.7667,62.67,45,65,8.01,broken clouds
136,Ancud,CL,-41.8697,-73.8203,53.42,94,94,2.73,overcast clouds
137,Pandan,PH,14.0453,124.1694,82.51,87,99,12.73,overcast clouds
138,San Quintin,MX,30.4833,-115.95,60.89,88,11,4.05,few clouds
139,Acari,PE,-15.4311,-74.6158,67.12,74,66,2.57,broken clouds
140,Batagay,RU,67.6333,134.6333,-14.39,86,48,5.99,scattered clouds
141,Butaritari,KI,3.0707,172.7902,81.82,72,21,9.28,few clouds
142,Jackson,US,42.4165,-122.8345,42.04,85,1,0.0,clear sky
143,Berlevag,NO,70.8578,29.0864,30.2,85,100,10.27,light snow
144,Port Elizabeth,ZA,-33.918,25.5701,61.09,94,40,6.91,scattered clouds
145,Dudinka,RU,69.4058,86.1778,9.95,95,100,6.24,overcast clouds
146,Clyde River,CA,70.4692,-68.5914,10.72,91,50,11.43,scattered clouds
147,Baykit,RU,61.67,96.37,31.23,89,100,10.42,overcast clouds
148,Sept-Iles,CA,50.2001,-66.3821,43.23,84,90,4.61,overcast clouds
149,Nanortalik,GL,60.1432,-45.2371,30.16,63,100,2.3,overcast clouds
150,Ahipara,NZ,-35.1667,173.1667,63.82,84,50,4.41,scattered clouds
151,Arman,RU,59.7,150.1667,23.02,81,100,8.41,overcast clouds
152,Beri,IN,25.9031,79.8902,79.65,31,54,4.68,broken clouds
153,Kloulklubed,PW,7.0419,134.2556,86.5,76,98,16.53,overcast clouds
154,Puerto Carreno,CO,6.189,-67.4859,77.67,81,100,4.34,overcast clouds
155,Kenai,US,60.5544,-151.2583,31.03,95,90,3.44,light snow
156,Yellowknife,CA,62.456,-114.3525,24.42,100,90,6.91,light snow
157,Okhotsk,RU,59.3833,143.3,8.55,71,26,21.68,scattered clouds
158,Mar Del Plata,AR,-38.0023,-57.5575,57.87,89,75,8.01,thunderstorm
159,Tucuman,AR,-26.8241,-65.2226,61.47,88,3,2.1,clear sky
160,San Patricio,US,28.017,-97.5169,70.83,74,0,6.62,clear sky
161,Bogotol,RU,56.2078,89.5342,31.57,65,99,18.41,overcast clouds
162,Leeton,AU,-34.5667,146.4,79.9,20,3,12.3,clear sky
163,Losal,IN,27.4,74.9167,82.17,20,4,3.22,clear sky
164,Jibuti,DJ,11.5,42.5,80.02,62,10,18.05,clear sky
165,Srednekolymsk,RU,67.45,153.6833,1.87,98,100,4.34,overcast clouds
166,Nijar,ES,36.9665,-2.206,49.66,37,0,8.05,clear sky
167,Adamovka,RU,51.5223,59.9396,35.06,65,100,6.82,overcast clouds
168,Dunedin,NZ,-45.8742,170.5036,60.64,75,66,7.16,broken clouds
169,Doha,QA,25.2867,51.5333,84.18,56,0,6.91,clear sky
170,Westport,US,41.1415,-73.3579,51.75,67,1,1.01,clear sky
171,Peterhead,GB,57.5058,-1.7981,45.12,76,95,6.44,overcast clouds
172,Sagua La Grande,CU,22.8067,-80.0756,61.79,75,39,6.06,scattered clouds
173,Pevek,RU,69.7008,170.3133,15.44,76,83,19.93,broken clouds
174,Avera,US,33.194,-82.5271,51.67,55,0,6.96,clear sky
175,Ixtapa,MX,20.7,-105.2,73.0,92,29,3.02,scattered clouds
176,Hornepayne,CA,49.2138,-84.7705,45.34,82,100,6.53,overcast clouds
177,Saint-Leu,RE,-21.15,55.2833,81.68,91,5,1.57,clear sky
178,Myre,NO,69.1036,15.9492,35.55,59,98,16.91,light rain
179,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,78,31,10.45,scattered clouds
180,Auce,LV,56.4598,22.9017,41.45,82,94,12.39,overcast clouds
