City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
521,Sao Joao Do Piaui,BR,75.06,light rain,-8.3581,-42.2467,Nayra Palace Hotel
526,Mahina,PF,78.57,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
528,Larreynaga,NI,72.72,overcast clouds,12.6769,-86.5719,Finca El Carrizal
531,Morondava,MG,84.94,clear sky,-20.2833,44.2833,La Case Bambou
532,Chipata,ZM,84.81,broken clouds,-13.6333,32.65,Protea Hotel by Marriott Chipata
533,Praia Da Vitoria,PT,69.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
534,Kontagora,NG,72.99,overcast clouds,10.3999,5.4695,Queens Guest Inn
543,Coxim,BR,74.35,scattered clouds,-18.5067,-54.76,Hotel Avenida
544,Antalaha,MG,81.81,light rain,-14.9003,50.2788,Hotel Vitasoa
548,Katsuura,JP,69.84,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
550,Puerto Gaitan,CO,75.34,overcast clouds,4.3133,-72.0816,Brisas del Yucao
551,Maturin,VE,71.69,scattered clouds,9.75,-63.1767,Hotel Residencial La Pichincha
553,Puerto Escondido,MX,77.59,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
554,Atambua,ID,84.22,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
556,Port Said,EG,73.38,clear sky,31.2565,32.2841,Aracan Hotel
559,Byron Bay,AU,80.06,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
561,Pemangkat,ID,85.08,broken clouds,1.1667,108.9667,Ramah Kost KITA
563,Axim,GH,78.21,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
564,Itoman,JP,72.37,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
565,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
566,Albina,SR,73.26,overcast clouds,5.5,-54.05,Hudace
569,Kibala,TD,75.15,clear sky,9.1104,18.3463,hotel safari
571,Santa Rosa,PH,90.1,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
576,Flinders,AU,72.81,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
581,Tsabong,BW,72.28,overcast clouds,-26.0217,22.401,Springbok Motel
583,Cartagena Del Chaira,CO,71.74,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
586,Xai-Xai,MZ,83.16,broken clouds,-25.0519,33.6442,Complexo da Familia
587,Buchanan,LR,76.96,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
590,Kalmunai,LK,83.53,overcast clouds,7.4167,81.8167,VS Villa
593,Kiama,AU,73.0,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
599,Lethem,GY,76.17,overcast clouds,3.3803,-59.7968,Savannah Inn
600,Kieta,PG,84.43,few clouds,-6.2167,155.6333,Uruna Bay Retreat
602,Kandrian,PG,83.26,light rain,-6.2167,149.55,Kandrian Station
603,Natal,BR,79.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
604,Soyo,AO,78.85,overcast clouds,-6.1349,12.3689,Hotel Mpampa
607,Mahajanga,MG,86.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
608,Bambanglipuro,ID,82.85,overcast clouds,-7.95,110.2833,Puri Brata
611,Amarante Do Maranhao,BR,69.85,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
614,Mackay,AU,85.98,scattered clouds,-21.15,149.2,International Lodge Motel
619,Chepareria,KE,69.35,broken clouds,1.3077,35.2039,Hamza Lodge
625,Black River,JM,77.0,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
630,Bourail,NC,77.04,overcast clouds,-21.5667,165.4833,Motel Allamanda
631,Santa Cruz De La Palma,ES,68.14,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
633,Shimoda,JP,68.36,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
634,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
635,Katobu,ID,89.29,overcast clouds,-4.9408,122.5276,La Ode Husein
639,Ambilobe,MG,92.48,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
641,Puerto Ayacucho,VE,75.2,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
642,Tutoia,BR,74.41,overcast clouds,-2.7619,-42.2744,Pousada Guará's
651,Luwuk,ID,85.71,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
652,Hun,LY,68.7,overcast clouds,29.1268,15.9477,Alrwasi Hotel
653,Garowe,SO,77.13,scattered clouds,8.4054,48.4845,Curubo Hotel
656,Batangafo,CF,74.23,overcast clouds,7.3008,18.2833,OCHA Office
658,Allapalli,IN,83.75,scattered clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
660,Khandbari,NP,72.34,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
661,Tezu,IN,82.18,clear sky,27.9167,96.1667,Circuit House
662,Namatanai,PG,85.03,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
668,Kinablangan,PH,85.19,clear sky,7.6947,126.5503,Danny Moreno Property
673,Pochutla,MX,76.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
675,Nyimba,ZM,90.25,broken clouds,-14.5566,30.8149,Dali Dali Lodge
676,Rio Brilhante,BR,71.1,few clouds,-21.8019,-54.5464,Hotel Cattani
677,Pontianak,ID,87.78,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
682,Galle,LK,77.92,overcast clouds,6.0367,80.217,Amangalla
683,Male,MV,85.95,broken clouds,4.1748,73.5089,Hotel Octave Maldives
686,Barra Do Garcas,BR,73.47,light rain,-15.89,-52.2567,Hotel Pousada Tropical
687,San Pedro,PH,89.35,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
